C�digo Barra,C�digo Reduzido,Descri��o,Unidade Medida,Categoria,Setor,Pre�o de Venda Unit�rio R$,Classificacao Fiscal / NCM,CST ICMS Sa�da,CEST,CFOP Estadual,Al�quota ICMS,Al�quota de PIS,CST PIS Sa�da,Al�quota de COFINS,CST COFINS Sa�da,Enviar para Balan�a,,,,,,,,,,
|7891098000163|,-,CHA LEAO CAMOMILA 10G,UN,MERCEARIA SECA,02 REVENDA,4,4100,1211.90.90 - OUTS.PLANTAS E PARTES,P/PERFUMARIA,MEDICINA E SEMELHS.,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7891098000415|,-,CHA LEAO PRETO 16G,UN,MERCEARIA SECA,02 REVENDA,4,5000,3406.00.00 - PROD CONVENIENCIA,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891098000170|,-,CHA LEAO HORTELA 10G,UN,MERCEARIA SECA,02 REVENDA,4,4100,3406.00.00 - PROD CONVENIENCIA,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7895144859934|,-,MENTOS PURE FRUIT MORANGO 8,5,UN,BOMBONIERE,02 REVENDA,2,5000,1704.90.20 - BALAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,
|7895144899930|,-,MENTOS PURE FRUIT MORANGO 8,5,UN,BOMBONIERE,02 REVENDA,2,5000,1704.90.20 - BALAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,
|7895144899947|,-,MENTOS PURE FRESH MINT 8,5G,UN,BOMBONIERE,02 REVENDA,2,5000,1704.90.20 - BALAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,
|7895144852935|,-,MENTOS PURE FRESH MINT 8,5G,UN,BOMBONIERE,02 REVENDA,2,5000,1704.90.20 - BALAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,
|7891098000811|,-,MATTE LEAO NATURAL 1,5L,UN,BEBIDAS,02 REVENDA,11,9000,2202.10.00 - SUCOS / CHAS / ENERG,60,17.111.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,0,0,4,0,0,4,-,,,,
|7891098040565|,-,MATTE LEAO NATURAL 1,5L,UN,BEBIDAS,02 REVENDA,11,9000,2202.10.00 - SUCOS / CHAS / ENERG,60,17.111.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,0,0,4,0,0,4,-,,,,
|7892840814564|,-,LAYS CLASSICA 70G,UN,MERCEARIA ESPECIAL,02 REVENDA,12,5000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840256449|,-,LAYS CLASSICA 70G,UN,MERCEARIA ESPECIAL,02 REVENDA,12,5000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840241841|,-,LAYS CLASSICA 70G,UN,MERCEARIA ESPECIAL,02 REVENDA,12,5000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840816773|,-,LAYS CLASSICA 70G,UN,MERCEARIA ESPECIAL,02 REVENDA,12,5000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840816780|,-,LAYS SOUR CREAM 70G,UN,MERCEARIA ESPECIAL,02 REVENDA,12,5000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840814571|,-,LAYS SOUR CREAM 70G,UN,MERCEARIA ESPECIAL,02 REVENDA,12,5000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840257248|,-,LAYS SOUR CREAM 70G,UN,MERCEARIA ESPECIAL,02 REVENDA,12,5000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840241940|,-,LAYS SOUR CREAM 70G,UN,MERCEARIA ESPECIAL,02 REVENDA,12,5000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840823399|,-,LAYS SOUR CREAM 70G,UN,MERCEARIA ESPECIAL,02 REVENDA,12,5000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840817961|,-,LAYS CLASSICA 45G,UN,MERCEARIA ESPECIAL,02 REVENDA,4,9900,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840816001|,-,LAYS CLASSICA 45G,UN,MERCEARIA ESPECIAL,02 REVENDA,4,9900,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840814618|,-,LAYS CLASSICA 45G,UN,MERCEARIA ESPECIAL,02 REVENDA,4,9900,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840256548|,-,LAYS CLASSICA 45G,UN,MERCEARIA ESPECIAL,02 REVENDA,4,9900,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840819590|,-,LAYS CLASSICA 45G,UN,MERCEARIA ESPECIAL,02 REVENDA,4,9900,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898038740103|,2065,SUCO TERRA MILHO 300 ML,UN,BEBIDAS,02 REVENDA,10,5000,2009.89.19 - SUCO (SUMO), OUTROS,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7898038740073|,2065,SUCO TERRA MILHO 300 ML,UN,BEBIDAS,02 REVENDA,10,5000,2009.89.19 - SUCO (SUMO), OUTROS,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7898038740059|,2065,SUCO TERRA MILHO 300 ML,UN,BEBIDAS,02 REVENDA,10,5000,2009.89.19 - SUCO (SUMO), OUTROS,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7891098040589|,-,MATTE LEAO LIMAO 1,5L,UN,BEBIDAS,02 REVENDA,11,5000,2202.10.00 - SUCOS / CHAS / ENERG,60,17.111.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,0,0,4,0,0,4,-,,,,
|7891098000828|,-,MATTE LEAO LIMAO 1,5L,UN,BEBIDAS,02 REVENDA,11,5000,2202.10.00 - SUCOS / CHAS / ENERG,60,17.111.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,0,0,4,0,0,4,-,,,,
|038000850974|,-,PRINGLES CREME E CEBOLA 128G,UN,MERCEARIA ESPECIAL,02 REVENDA,17,8000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|038000849787|,-,PRINGLES CREME E CEBOLA 128G,UN,MERCEARIA ESPECIAL,02 REVENDA,17,8000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|038000846014|,-,PRINGLES CREME E CEBOLA 128G,UN,MERCEARIA ESPECIAL,02 REVENDA,17,8000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7896004006475|,-,PRINGLES CREME E CEBOLA 128G,UN,MERCEARIA ESPECIAL,02 REVENDA,17,8000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7896004006239|,-,PRINGLES CREME E CEBOLA 128G,UN,MERCEARIA ESPECIAL,02 REVENDA,17,8000,1905.90.90 - PAES, BOLOS, BOLACHAS,60,17.031.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7895144293080|,-,MENTOS UP2U 56G,UN,BOMBONIERE,02 REVENDA,15,2000,1704.90.20 - BALAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,,
|7895144203089|,-,MENTOS UP2U 56G,UN,BOMBONIERE,02 REVENDA,15,2000,1704.90.20 - BALAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,,
|7899970400117|,-,HERSHEYS OVOMALTINE 77G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292887736|,-,HERSHEYS OVOMALTINE 77G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7899970402951|,-,HERSHEYS OVOMALTINE 77G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292887729|,-,HERSHEYS OVOMALTINE 77G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7899970402876|,-,HERSHEYS OVOMALTINE 77G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292885381|,-,HERSHEYS OVOMALTINE 77G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7899970400124|,-,HERSHEYS OVOMALTINE 77G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292884667|,-,HERSHEYS OVOMALTINE 77G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7899970400025|,-,HERSHEYS AO LEITE 82G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292885206|,-,HERSHEYS AO LEITE 82G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7899970400018|,-,HERSHEYS AO LEITE 82G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7899970402906|,-,HERSHEYS AO LEITE 82G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292888238|,-,HERSHEYS AO LEITE 82G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7899970402814|,-,HERSHEYS AO LEITE 82G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292887651|,-,HERSHEYS AO LEITE 82G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7899970400056|,-,HERSHEYS AO LEITE 82G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292887644|,-,HERSHEYS AO LEITE 82G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292887682|,-,HERSHEYS MEIO AMARGO 92G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292885244|,-,HERSHEYS MEIO AMARGO 92G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7899970400070|,-,HERSHEYS MEIO AMARGO 92G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898292887699|,-,HERSHEYS MEIO AMARGO 92G,UN,BOMBONIERE,02 REVENDA,7,3000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7891203050441|,-,BISCOITO MARIA PANCO 400G,UN,MERCEARIA SECA,02 REVENDA,8,3000,1905.90.20 - BISCOITOS,0,17.056.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,12,1,650,1,7,600,1,-,,,,,,,
|7891000089255|,-,BISCOITO MOCA NESTLE,UN,MERCEARIA SECA,02 REVENDA,3,5700,1905.31.00 - BOLACHAS E BISCOITOS,ADICIONADOS DE EDULCORANTES,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7891000101674|,-,NESTON 3 CEREAIS 210G,UN,MERCEARIA SECA,02 REVENDA,5,7700,0401.10.10 - LATICINIOS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891000098950|,-,NESTON 3 CEREAIS 210G,UN,MERCEARIA SECA,02 REVENDA,5,7700,0401.10.10 - LATICINIOS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7622210961716|,-,CHOC LACTA AMARO 80G,UN,BOMBONIERE,02 REVENDA,10,6000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7622210731265|,-,CHOC LACTA AMARO 80G,UN,BOMBONIERE,02 REVENDA,10,6000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7896019621762|,-,CHOC LACTA AMARO 80G,UN,BOMBONIERE,02 REVENDA,10,6000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7622210674432|,-,CHOC LACTA AMARO 80G,UN,BOMBONIERE,02 REVENDA,10,6000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7622300852474|,-,CHOC LACTA AMARO 80G,UN,BOMBONIERE,02 REVENDA,10,6000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7622210961723|,-,CHOC LACTA AMARO 80G,UN,BOMBONIERE,02 REVENDA,10,6000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7892840822637|,-,TORCIDA PIMENTA MEXICANA 38G,UN,MERCEARIA SECA,02 REVENDA,4,5000,1905.90.20 - BISCOITOS,60,17.056.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7892840820312|,-,TORCIDA PIMENTA MEXICANA 38G,UN,MERCEARIA SECA,02 REVENDA,4,5000,1905.90.20 - BISCOITOS,60,17.056.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891962037004|,-,BAUDUCCO WAFER MOR 165G,UN,MERCEARIA SECA,02 REVENDA,5,8000,1905.90.20 - BISCOITOS,60,17.056.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891962008554|,-,BAUDUCCO WAFER MOR 165G,UN,MERCEARIA SECA,02 REVENDA,5,8000,1905.90.20 - BISCOITOS,60,17.056.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7898367980034|,-,CERV PALE ALE EISENBAHN LN,UN,BEBIDAS,02 REVENDA,7,6000,2203.00.00 - CERVEJAS,60,03.021.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,0,0,4,0,0,4,-,,,,,
|7891000023167|,-,NESCAU LIGHT 200ML,UN,LATICINIOS,02 REVENDA,4,2000,2202.99.00 - OUTROS SUCOS,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891079001028|,-,MIOJO TOMATE NISSIN 80G,UN,MERCEARIA SECA,02 REVENDA,3,7000,3406.00.00 - PROD CONVENIENCIA,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891000357460|,-,CEREAL SNOW FLAKES 230G,UN,MERCEARIA SECA,02 REVENDA,10,2900,3406.00.00 - PROD CONVENIENCIA,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891000100721|,-,CEREAL SNOW FLAKES 230G,UN,MERCEARIA SECA,02 REVENDA,10,2900,3406.00.00 - PROD CONVENIENCIA,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896292300545|,-,ERVILHA PREDILETA 200G,UN,MERCEARIA SECA,02 REVENDA,2,6200,2005.40.00 - ERVILHAS PREPARADAS OU CONSERVADAS,NAO CONGELADAS,60,17.092.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|78938878|,-,HALLS MENTA PRATA,UN,BOMBONIERE,02 REVENDA,2,0,1704.90.20 - BALAS,0,28.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,,
|7622300842475|,-,HALLS MENTA PRATA,UN,BOMBONIERE,02 REVENDA,2,0,1704.90.20 - BALAS,0,28.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,,
|7622300842468|,-,HALLS MENTA PRATA,UN,BOMBONIERE,02 REVENDA,2,0,1704.90.20 - BALAS,0,28.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,,
|7622210875198|,-,HALLS MENTA PRATA,UN,BOMBONIERE,02 REVENDA,2,0,1704.90.20 - BALAS,0,28.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,,
|7896048258014|,-,VINAGRE CASTELO 750ML,UN,MERCEARIA SECA,02 REVENDA,9,8000,2209.00.00 - VINAGRES E SUCEDAN.OBTIDOS ACID.ACETICO,P/USO ALIMENTAR,60,28.062.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7896048258038|,-,VINAGRE CASTELO 750ML,UN,MERCEARIA SECA,02 REVENDA,9,8000,2209.00.00 - VINAGRES E SUCEDAN.OBTIDOS ACID.ACETICO,P/USO ALIMENTAR,60,28.062.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7891962014982|,-,BAUDUCCO BISC CREAM CRAKER 200G,UN,MERCEARIA SECA,02 REVENDA,4,8000,1905.31.00 - BOLACHAS E BISCOITOS,ADICIONADOS DE EDULCORANTES,0,17.053.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,12,1,650,1,7,600,1,-,,,,,,
|7891000102640|,-,AVEIA EM FLOCOS NESTLE 170G,UN,MERCEARIA SECA,02 REVENDA,5,8000,1104.12.00 - GRAOS DE AVEIA,ESMAGADOS OU EM FLOCOS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7891000102626|,-,AVEIA EM FLOCOS NESTLE 170G,UN,MERCEARIA SECA,02 REVENDA,5,8000,1104.12.00 - GRAOS DE AVEIA,ESMAGADOS OU EM FLOCOS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
